Rate,Rangename,Forecast Year,FOMC dots
4.75,Latest,2025,0
4.625,Latest,2025,0
4.5,Latest,2025, 
4.375,Latest,2025,7
4.25,Latest,2025, 
4.125,Latest,2025,2
4,Latest,2025, 
3.875,Latest,2025,8
3.75,Latest,2025, 
3.625,Latest,2025,2
3.5,Latest,2025, 
3.375,Latest,2025, 
3.25,Latest,2025, 
3.125,Latest,2025, 
3,Latest,2025, 
2.875,Latest,2025, 
2.75,Latest,2025, 
2.625,Latest,2025, 
2.5,Latest,2025, 
2.375,Latest,2025, 
2.25,Latest,2025,0
2.125,Latest,2025,0
2,Latest,2025,0
1.875,Latest,2025,0
1.75,Latest,2025,0
1.625,Latest,2025,0
1.5,Latest,2025,0
1.375,Latest,2025,0
1.25,Latest,2025,0
1.125,Latest,2025,0
4.75,Latest,2026,0
4.625,Latest,2026,0
4.5,Latest,2026, 
4.375,Latest,2026, 
4.25,Latest,2026, 
4.125,Latest,2026,1
4,Latest,2026, 
3.875,Latest,2026,5
3.75,Latest,2026, 
3.625,Latest,2026,4
3.5,Latest,2026, 
3.375,Latest,2026,5
3.25,Latest,2026, 
3.125,Latest,2026,2
3,Latest,2026, 
2.875,Latest,2026,1
2.75,Latest,2026, 
2.625,Latest,2026,1
2.5,Latest,2026, 
2.375,Latest,2026, 
2.25,Latest,2026,0
2.125,Latest,2026,0
2,Latest,2026,0
1.875,Latest,2026,0
1.75,Latest,2026,0
1.625,Latest,2026,0
1.5,Latest,2026,0
1.375,Latest,2026,0
1.25,Latest,2026,0
1.125,Latest,2026,0
4.75,Latest,2027,0
4.625,Latest,2027,0
4.5,Latest,2027, 
4.375,Latest,2027, 
4.25,Latest,2027, 
4.125,Latest,2027, 
4,Latest,2027, 
3.875,Latest,2027,2
3.75,Latest,2027, 
3.625,Latest,2027,3
3.5,Latest,2027, 
3.375,Latest,2027,6
3.25,Latest,2027, 
3.125,Latest,2027,3
3,Latest,2027, 
2.875,Latest,2027,3
2.75,Latest,2027, 
2.625,Latest,2027,2
2.5,Latest,2027, 
2.375,Latest,2027, 
2.25,Latest,2027,0
2.125,Latest,2027,0
2,Latest,2027,0
1.875,Latest,2027,0
1.75,Latest,2027,0
1.625,Latest,2027,0
1.5,Latest,2027,0
1.375,Latest,2027,0
1.25,Latest,2027,0
1.125,Latest,2027,0
4.75,Latest,Long Run,0
4.625,Latest,Long Run,0
4.5,Latest,Long Run,0
4.375,Latest,Long Run, 
4.25,Latest,Long Run, 
4.125,Latest,Long Run, 
4,Latest,Long Run, 
3.875,Latest,Long Run,1
3.75,Latest,Long Run,1
3.625,Latest,Long Run,2
3.5,Latest,Long Run,2
3.375,Latest,Long Run,1
3.25,Latest,Long Run, 
3.125,Latest,Long Run,1
3,Latest,Long Run,3
2.875,Latest,Long Run,4
2.75,Latest,Long Run, 
2.625,Latest,Long Run,2
2.5,Latest,Long Run,2
2.375,Latest,Long Run,0
2.25,Latest,Long Run,0
2.125,Latest,Long Run,0
2,Latest,Long Run,0
1.875,Latest,Long Run,0
1.75,Latest,Long Run,0
1.625,Latest,Long Run,0
1.5,Latest,Long Run,0
1.375,Latest,Long Run,0
1.25,Latest,Long Run,0
1.125,Latest,Long Run,0
4.75,Previous,2025, 
4.625,Previous,2025, 
4.5,Previous,2025, 
4.375,Previous,2025,1
4.25,Previous,2025, 
4.125,Previous,2025,3
4,Previous,2025, 
3.875,Previous,2025,10
3.75,Previous,2025, 
3.625,Previous,2025,3
3.5,Previous,2025, 
3.375,Previous,2025,1
3.25,Previous,2025, 
3.125,Previous,2025,1
3,Previous,2025, 
2.875,Previous,2025, 
2.75,Previous,2025, 
2.625,Previous,2025, 
2.5,Previous,2025, 
2.375,Previous,2025, 
2.25,Previous,2025, 
2.125,Previous,2025, 
2,Previous,2025,0
1.875,Previous,2025,1
1.75,Previous,2025, 
1.625,Previous,2025, 
1.5,Previous,2025, 
1.375,Previous,2025, 
1.25,Previous,2025,0
1.125,Previous,2025,0
4.75,Previous,2026, 
4.625,Previous,2026, 
4.5,Previous,2026, 
4.375,Previous,2026, 
4.25,Previous,2026, 
4.125,Previous,2026, 
4,Previous,2026, 
3.875,Previous,2026,3
3.75,Previous,2026, 
3.625,Previous,2026,4
3.5,Previous,2026, 
3.375,Previous,2026,5
3.25,Previous,2026, 
3.125,Previous,2026,4
3,Previous,2026, 
2.875,Previous,2026,1
2.75,Previous,2026,1
2.625,Previous,2026, 
2.5,Previous,2026, 
2.375,Previous,2026,1
2.25,Previous,2026, 
2.125,Previous,2026,5
2,Previous,2026, 
1.875,Previous,2026,1
1.75,Previous,2026,1
1.625,Previous,2026,2
1.5,Previous,2026, 
1.375,Previous,2026, 
1.25,Previous,2026,0
1.125,Previous,2026,0
4.75,Previous,2027, 
4.625,Previous,2027, 
4.5,Previous,2027, 
4.375,Previous,2027, 
4.25,Previous,2027, 
4.125,Previous,2027, 
4,Previous,2027, 
3.875,Previous,2027,2
3.75,Previous,2027, 
3.625,Previous,2027,4
3.5,Previous,2027, 
3.375,Previous,2027,1
3.25,Previous,2027, 
3.125,Previous,2027,7
3,Previous,2027, 
2.875,Previous,2027,2
2.75,Previous,2027,1
2.625,Previous,2027,1
2.5,Previous,2027, 
2.375,Previous,2027,1
2.25,Previous,2027, 
2.125,Previous,2027,0
2,Previous,2027,0
1.875,Previous,2027,0
1.75,Previous,2027,0
1.625,Previous,2027,0
1.5,Previous,2027, 
1.375,Previous,2027, 
1.25,Previous,2027,0
1.125,Previous,2027,0
4.75,Previous,Long Run, 
4.625,Previous,Long Run, 
4.5,Previous,Long Run, 
4.375,Previous,Long Run, 
4.25,Previous,Long Run, 
4.125,Previous,Long Run, 
4,Previous,Long Run, 
3.875,Previous,Long Run,1
3.75,Previous,Long Run,1
3.625,Previous,Long Run,2
3.5,Previous,Long Run,2
3.375,Previous,Long Run,1
3.25,Previous,Long Run, 
3.125,Previous,Long Run,1
3,Previous,Long Run,3
2.875,Previous,Long Run,4
2.75,Previous,Long Run,1
2.625,Previous,Long Run,1
2.5,Previous,Long Run,1
2.375,Previous,Long Run,1
2.25,Previous,Long Run, 
2.125,Previous,Long Run, 
2,Previous,Long Run,1
1.875,Previous,Long Run,1
1.75,Previous,Long Run,8
1.625,Previous,Long Run,1
1.5,Previous,Long Run, 
1.375,Previous,Long Run,0
1.25,Previous,Long Run,0
1.125,Previous,Long Run,0
