Peak,Trough
1857-06-01, 1858-12-01
1860-10-01, 1861-06-01
1865-04-01, 1867-12-01
1869-06-01, 1870-12-01
1873-10-01, 1879-03-01
1882-03-01, 1885-05-01
1887-03-01, 1888-04-01
1890-07-01, 1891-05-01
1893-01-01, 1894-06-01
1895-12-01, 1897-06-01
1899-06-01, 1900-12-01
01/09/1902, 1904-08-01
01/05/1907, 1908-06-01
01/01/1910, 1912-01-01
01/01/1913, 1914-12-01
01/08/1918, 1919-03-01
01/01/1920, 1921-07-01
01/05/1923, 1924-07-01
01/10/1926, 1927-11-01
01/08/1929, 1933-03-01
01/05/1937, 1938-06-01
01/02/1945, 1945-10-01
01/11/1948, 1949-10-01
01/07/1953, 1954-05-01
01/08/1957, 1958-04-01
01/04/1960, 1961-02-01
01/12/1969, 1970-11-01
01/11/1973, 1975-03-01
01/01/1980, 1980-07-01
01/07/1981, 1982-11-01
01/07/1990, 1991-03-01
01/03/2001, 2001-11-01
01/12/2007, 2009-06-01
01/12/2019, 2020-06-01 
