gw,managerid,gw_ftsy_rank,chip,grosspoints,netpoints,event_transfers,event_transfers_cost,points_on_bench,cumul_gross_score,cumul_net_score,squadvalue,bank,value,playerid,playername,playertype,team,short_team,global_own,player_event_points,bonus,minutes,positionid,orig_positionid,final_positionid,autosub,is_captain,capchk,is_vice_captain,multiplier,orig_multiplier,final_multiplier
1,3027768,50,na,35,35,0,0,8,35,35,100,0,100,287,Pickford,GKP,Everton,EVE,13,2,0,90,1,1,1,UNCH,FALSE,0,TRUE,1,1,1
1,3027768,50,na,35,35,0,0,8,35,35,100,0,100,256,Munoz,DEF,Crystal Palace,CRY,9.2,5,0,90,2,2,2,UNCH,FALSE,0,FALSE,1,1,1
1,3027768,50,na,35,35,0,0,8,35,35,100,0,100,260,Guehi,DEF,Crystal Palace,CRY,32.6,6,0,90,3,13,3,IN,FALSE,0,FALSE,1,0,1
1,3027768,50,na,35,35,0,0,8,35,35,100,0,100,291,Tarkowski,DEF,Everton,EVE,12.6,4,0,90,4,4,4,UNCH,TRUE,1,FALSE,2,2,2
1,3027768,50,na,35,35,0,0,8,35,35,100,0,100,610,W-Bissaka,DEF,West Ham,WHU,4.3,1,0,90,5,5,5,UNCH,FALSE,0,FALSE,1,1,1
1,3027768,50,na,35,35,0,0,8,35,35,100,0,100,119,Mbeumo,MID,Man Utd,MUN,15,2,0,90,6,6,6,UNCH,FALSE,0,FALSE,1,1,1
1,3027768,50,na,35,35,0,0,8,35,35,100,0,100,235,Palmer,MID,Chelsea,CHE,12.6,3,0,90,7,7,7,UNCH,FALSE,0,FALSE,1,1,1
1,3027768,50,na,35,35,0,0,8,35,35,100,0,100,16,Saka,MID,Arsenal,ARS,11.6,3,0,90,8,8,8,UNCH,FALSE,0,FALSE,1,1,1
1,3027768,50,na,35,35,0,0,8,35,35,100,0,100,449,Fernandes,MID,Man Utd,MUN,48,2,0,90,9,9,9,UNCH,FALSE,0,FALSE,1,1,1
1,3027768,50,na,35,35,0,0,8,35,35,100,0,100,596,Solanke,FWD,Spurs,TOT,1.1,1,0,19,10,10,10,UNCH,FALSE,0,FALSE,1,1,1
1,3027768,50,na,35,35,0,0,8,35,35,100,0,100,624,Bowen,FWD,West Ham,WHU,17.5,2,0,90,11,11,11,UNCH,FALSE,0,FALSE,1,1,1
1,3027768,50,na,35,35,0,0,8,35,35,100,0,100,101,Kelleher,GKP,Brentford,BRE,12,1,0,90,12,12,12,UNCH,FALSE,0,FALSE,0,0,0
1,3027768,50,na,35,35,0,0,8,35,35,100,0,100,292,Mykolenko,DEF,Everton,EVE,0.7,0,0,0,13,3,13,OUT,FALSE,0,FALSE,0,1,0
1,3027768,50,na,35,35,0,0,8,35,35,100,0,100,241,Caicedo,MID,Chelsea,CHE,7.1,5,0,90,14,14,14,UNCH,FALSE,0,FALSE,0,0,0
